"","index","business_id","review_count"
"1",34,"YPavuOh2XsnRbLfl0DH2lQ","1276"
"2",50,"LIvXzdMJrIb6IY5Y3tqicA","291"
"3",86,"Ja4stXdNYr39u5CZHMNtjw","480"
"4",144,"2px99IppAcnxR238eq_8_w","273"
"5",169,"piGQNN6ECbSC0agHhvoVeg","221"
"6",241,"ndXuzuD4BpNIrm1I0nTsww","301"
"7",245,"u7CxxEzx8hvjoJ8onN4zTg","364"
"8",420,"Pob7ibbNT29--69nxXEP2g","904"
"9",443,"_pBXtjN43eqMV0XZTz7nmw","794"
"10",514,"8Y5p2IQMLX6QjGPzxanexg","342"
"11",530,"KR2kRmHnRCaNzOUEGoB25w","219"
"12",539,"FYa3GUro-ezTM9zvKiocFw","434"
"13",762,"wib5LeUWBkxu67Rl3ruMDQ","242"
"14",829,"1uPQTz5XZSWr0ti7kUpaDw","304"
"15",880,"f9sU31meK0bqAD7922sCog","917"
"16",882,"5iSmZO0SrKU6EoXK_1M8Kw","2080"
"17",883,"xkVMIk_Vqh17f48ZQ_6b0w","1915"
"18",1010,"d4qwVw4PcN-_2mK2o1Ro1g","841"
"19",1107,"4k3RlMAMd46DZ_JyZU0lMg","1008"
"20",1110,"Po0QGzgwFrfnGJEi_akCjA","260"
"21",1116,"2fqHO2vFbcwVV27c_Irm8Q","236"
"22",1145,"iE71iwcSljg3xm2GB2Y9aA","288"
"23",1160,"H9a6IRS0edhW343Y2kXSSA","313"
"24",1197,"dw2ST-AHUbu2xq0QNfngBA","239"
"25",1258,"aWYWNfHuQJyRwDHaHq8X1w","242"
"26",1289,"h3pMMRwqBjMeMtk0_qQzRQ","332"
"27",1292,"-zEpEmDfFQL-ph0N3BDlXA","242"
"28",1374,"mlCDsdVFuZvRGrJTfQ6amw","419"
"29",1393,"6xgcHeLad-VaoTIQewK84A","800"
"30",1423,"zNGYsFeG_7XEBodbtfux5Q","208"
"31",1490,"2Yq-Y-tDroP7mdDfcWJLCQ","312"
"32",1599,"SVUxmYs6_TvX5kWv0ok-MA","215"
"33",1661,"u-SvRRAfYgpbXZRfQgcTzA","202"
"34",1663,"SHFlELFcEcAOJv_fTAKChQ","452"
"35",1728,"d482l58ho0_IMdFkXX1F5Q","317"
"36",1787,"BY0o4pOtNPKyTklTFXDJpg","208"
"37",1802,"uuGlYAIvYAX1q1KhpY6dtA","481"
"38",1806,"jmyvOW6G2T1fIePvajB4nQ","261"
"39",1974,"kHpXJ2vciumu2KhNHg0hYA","228"
"40",2033,"v9u0NgjA4iQeKGevFnYSCA","385"
"41",2043,"y_3IkHGoSkZlAqdkrMG-1w","202"
"42",2056,"UE3AvVnaPEBPneVahYT2eA","698"
"43",2141,"aqwn3jdQLCWnb59gHK4nAw","338"
"44",2219,"WOd8tWsh2Yt_osHv-ngx_w","251"
"45",2289,"yV7f80Nw8nJGilZpRnS6HQ","208"
"46",2364,"s8OLoPfOpB0FbK5frI3CkQ","346"
"47",2630,"lUG4i-s3zNFY1f6bEnTfqg","210"
"48",2639,"yQab5dxZzgBLTEHCw9V7_w","1385"
"49",2720,"tNJkfAMdwznUX4l31cgq4Q","215"
"50",2776,"uWECX6-Uq9n8v5ipk9R29A","811"
"51",2815,"YnmtUJGqQIQL9tz1MRyfqA","501"
"52",2884,"s0vNtuLs1cwEqHTXKiS05w","370"
"53",2986,"C8D_GU9cDDjbOJfCaGXxDQ","997"
"54",2990,"LUDX--wfStrKavGyitk4nA","281"
"55",3029,"F80c5w4dUF1QoFcJG4JrmQ","239"
"56",3038,"OA5Li3ySzhrbG_WvD_QGYA","428"
"57",3125,"kABF0hYfAEnl166mn1zR1A","361"
"58",3263,"oWD385Ues-RWJmhP_Riz1g","313"
"59",3285,"JXwyTKI7TlnleDhT3LRKKQ","325"
"60",3286,"EhIMjTklf4QPvRvMIhoQiA","409"
"61",3321,"RVTxiiWQwmeSJonJgYwwWg","201"
"62",3372,"YAJzBGvqT3dT_qAg6u8E1A","256"
"63",3380,"qAN2Rqhj7I84qN6iDIoP6g","263"
"64",3438,"EAwh1OmG6t6p3nRaZOW_AA","1758"
"65",3490,"SycXTaA4MeJZuDK4Y1owDQ","206"
"66",3585,"5OqrwhtZ3mcmUSwLINZTWQ","211"
"67",3586,"EVxY3Vcc-4uavsq2CQsk3g","992"
"68",3587,"74C1z6cqEdvJVgETTcEodw","227"
"69",3751,"QFPS9JBNdOOHVP0C3pSslw","285"
"70",3791,"RsxqZk0wswetGMaaQh2r2Q","267"
"71",3801,"5fquJHY2hMX9tPRD5s0t5g","290"
"72",3978,"PNTyiqS7R-0c1ofxOfDijQ","478"
"73",4053,"KalAJyO0Zpg3K1wVwYXBHA","509"
"74",4057,"Kuv-QSWUtOm5IjAxcFMl8A","207"
"75",4072,"WDKTg468bkRPW0LqbAZfmg","324"
"76",4109,"sjJOsKnXxsQodXMr1i8fsg","224"
"77",4275,"AZQKMMvX9m1-uTdLPMzK3g","224"
"78",4388,"3BCsAgo_1i4xMuTyLKMLRQ","1311"
"79",4484,"Twcjx4ofM9GWwXN6LVGSzw","374"
"80",4660,"yhgUyctWczUN13MinNgZ3w","891"
"81",4672,"JR2ma-JU1CO_xVD_p5-RPw","217"
"82",4727,"nxCRx5_US4XLxufkF6-Tlw","253"
"83",4757,"Gdv3qhsDeQzZ2Ag-Tzq6vA","240"
"84",4808,"kRgAf6j2y1eR0wOFdzFAuw","1130"
"85",4861,"MVIthKWqwkQz0dai7LkVzQ","353"
"86",4904,"LsjYGLrWe6psx1y5m2J-4A","259"
"87",4925,"umrDQGRNied77aVg29_fVw","382"
"88",4929,"RESDUcs7fIiihp38-d6_6g","5715"
"89",4979,"YQFcxE9UXrKc-QuTUu7twQ","274"
"90",4980,"DVvPQv1t08kusnnoMVhW-g","210"
"91",4999,"ZjSzUWHtnpCfjsa7CksSOg","1356"
"92",5049,"6tSvz_21BMo3a4GaItwa0g","805"
"93",5055,"km5aBHRss5ir_B0jvEErzQ","306"
"94",5322,"gA9hCYY7MYl9oZ3aym5dvw","272"
"95",5371,"6PQve0oFCLPSh4wnIzvJtg","289"
"96",5384,"LFs5jyYdXlzi0SpAYi1eSA","1068"
"97",5449,"hTsZSiftorNUFb1VaHCHHg","346"
"98",5495,"swX3Vj3dQsz1YlCRmwNQEQ","363"
"99",5580,"TL5Dtfnf-5hYG13lBF9N2A","344"
"100",5682,"qmymSqVwHYRqdwfcBatzpQ","521"
"101",5712,"A6qvHu4tVEKzwjZjWSCeRQ","288"
"102",5722,"J4CATH00YZrq8Bne2S4_cw","1115"
"103",5759,"SJo_IjvzdRtCvZVN0cbrRQ","303"
"104",5846,"Sxx0E2KvnNCSqlIhbD0l_g","341"
"105",5867,"ZtJ6sTq7-5rL9ORUtQJHAQ","300"
"106",5916,"5pMNyj77S1P3rrT69y1pkQ","238"
"107",5962,"6KtYYZ4ARIVa2Zj2tOcp9g","336"
"108",5967,"4JNXUYY8wbaaDmk3BPzlWw","6414"
"109",6037,"fS9a8AGrcwWPf_9vfn5wPQ","264"
"110",6060,"BkIZ8UDA23qxnp_kR1Sv8Q","231"
"111",6073,"41Kbugm-qmIQTt7unkALYQ","234"
"112",6112,"L7txS44bvz862djgTOim9w","308"
"113",6180,"SuRxV4YkPsvyyqK57On0rQ","220"
"114",6190,"pKiSzUlBBRNEdTML24piXA","211"
"115",6247,"_cjPEH9wXhKS-HQe_U3M4Q","298"
"116",6316,"_5UAFrD3EDgJO1aZgRxH7w","302"
"117",6322,"q10IXjtZqao66bVtPExTXw","269"
"118",6356,"whAwdYVty-jSNRhrYT2zHA","906"
"119",6387,"iL2-xJ4-eMsJk88PsbivbQ","215"
"120",6410,"ZPAkg2phFo_p3U-QjvHVPw","207"
"121",6428,"9a3DrZvpYxVs3k_qwlCNSw","1457"
"122",6435,"JsUprRhyzQyukZmAhcOg0A","286"
"123",6437,"GMrwDXRlAZU2zj5nH6l4vQ","340"
"124",6483,"CMN3KmB5SEfONN00s2nEeQ","834"
"125",6567,"iPPzDL_oY8SJCjmycuXcVg","202"
"126",6666,"No3BsB8fFF03WmRPs1d7tw","350"
"127",6669,"Qmwfg-PtYuCo5Q_IwcA_HQ","288"
"128",6680,"Qc0l8rZ3nvrcERitgxu8XA","762"
"129",6761,"8SwMaPL6AJIs1ZPSZ3NJ4w","358"
"130",6771,"3b94MZ9agaZL8SMBagTwpA","312"
"131",6836,"HQl28KMwrEKHqhFrrDqVNQ","326"
"132",6847,"ayOJSIl-P16HZAQBcQfUyQ","331"
"133",6875,"qmh6zxtJ8C8-YiUPv7ySlw","219"
"134",6883,"_IZyyv0dFfpIy_rI_-nwTQ","280"
"135",6916,"1ZJz840L496LAmQdeDv0WA","344"
"136",7011,"2KWkeOk1KaH50Es_A-8cnA","400"
"137",7015,"YgVC9NdMji-VV05w7-E1DQ","482"
"138",7043,"Gt4z3AylNTsEPDkzkaC7HA","647"
"139",7139,"ny8YcGEViSGKWxo69xfiiA","201"
"140",7164,"qTmuW0C9XXuxWwumvn89sw","403"
"141",7187,"mbLguBsFuy34zKlor2xcIg","444"
"142",7189,"IWN2heYitkg-D4UdqfxcMA","778"
"143",7194,"wpnLPAnkMEb1NpC3xiD_qg","530"
"144",7200,"o1dX8oFupfjbBpYgT7TH0w","373"
"145",7234,"KXITXbKuE60WSUDs7NZVLQ","618"
"146",7262,"Lq9rYrwvWV5QDBYzq7MGHQ","312"
"147",7311,"lOQPeguczAueJnLmDUTfGg","481"
"148",7346,"QGAv-8tj5i4m4G-HDMnIbA","244"
"149",7347,"9wjTzw8bEYOTQJk41V8WQw","774"
"150",7351,"0InA3Ffj8MxyQV9hgsyYcQ","306"
"151",7352,"jBs2HmEOkqCvdHNnw3N-og","225"
"152",7512,"e9UsRb-fmza5ukU8Ftduew","319"
"153",7568,"piZ4JqJI5WTljJuQV7yZHQ","369"
"154",7586,"_ixV2SWDy7w8jzEAHp85qA","357"
"155",7711,"ALwAlxItASeEs2vYAeLXHA","447"
"156",7757,"WBt2pa7k_K2LKW2OJuXG9Q","450"
"157",7761,"-ITj6Pu8Gdw8MmLf0XBEKQ","288"
"158",7855,"Fv3HvJPQYqfmniTgtIQJzA","424"
"159",7862,"tj3YzWsjMbPU_ivDkyOE3w","342"
"160",7884,"FML0YqZ7dLBBC3Suap4_4Q","215"
"161",8051,"6Cl15LapBVhw4ZfBIeVJJA","306"
"162",8305,"CiYLq33nAyghFkUR15pP-Q","1151"
"163",8345,"H8qlBw1YaxMsItfz25-AyA","241"
"164",8386,"65GMvjjrsvyR9pxxAys7qg","218"
"165",8387,"0pvEQRFVBjxz1W7dNpNZFg","527"
"166",8415,"bKxKPGmkwH-Q-GSbt7chNA","259"
"167",8437,"-RYIKWBSTaJ21B2UMyzI-Q","220"
"168",8517,"lgWB0yGXpZvupYREWxtV7g","462"
"169",8526,"AuIiqDeL65kczmiFSkAWrA","235"
"170",8566,"hIUKufhwR6Ifn7bi0-phLA","899"
"171",8595,"OEfvfMCJyC5kRWeRQQYQMg","207"
"172",8699,"8I5U8OQ06nSxX2y4PPOWzQ","491"
"173",8701,"sAXy1yJRLllTm5WrJbJGAA","230"
"174",8782,"D3dAx-QW_uuClz4MambeHA","693"
"175",9025,"nnB9aw5tLaYZHgAvwzpPOg","227"
"176",9039,"BYnmPgDK8QD5VTeUodQoZA","261"
"177",9094,"YkOCo5ipV2he2WXIAlZb-A","226"
"178",9123,"WOz66UuVsfc2K9GxzfDnGg","379"
"179",9225,"GlwOGCjSzts7AnbK9gqmng","344"
"180",9231,"Bkkwt8E9MHvgCHn4lUFtow","246"
"181",9248,"wyFV6UN--hH_ifbvdsjSkQ","274"
"182",9285,"gJhMeq2nVH27tz8LqbD3eQ","287"
"183",9318,"fWetLvfQXqpZcBQLHldUhA","671"
"184",9400,"H85um1dDQHAeUJ6AqYIqww","263"
"185",9426,"lKom12WnYEjH5FFemK3M1Q","973"
"186",9515,"BuS11AF9XSHEShscxQEzeg","437"
"187",9624,"-WLrZPzjKfrftLWaCi1QZQ","537"
"188",9625,"RtnTbhWYw4QjKhoTBV37OA","653"
"189",9637,"QsMR_Fp9YRtDegThsOgFLA","232"
"190",9675,"cNz2tTTAPmdeAq6HnGeo8w","241"
"191",9769,"8796vXaydw2aY_zER0n9uA","438"
"192",9776,"ePt0qmZgU-fjqMoM1M2U3Q","286"
"193",9834,"-OxDX2fPQLYi6ChW2Z6xxQ","229"
"194",9857,"-U7tvCtaraTQ9b0zBhpBMA","873"
"195",9862,"mUdalYTuAtnZm2K9zoH27Q","886"
"196",9972,"ruPFtD9dU6Cv9_wpzIR4UQ","358"
"197",10032,"sH-11zOhWubXobEeuMo2gg","205"
"198",10123,"SmkYLXEYhzwUZdS6TAevHg","536"
"199",10155,"82I9SSilxh3zL8F1UQ45Xw","246"
"200",10192,"6n_MDeYxU1ihB38be9TkVA","214"
"201",10216,"-95mbLJsa0CxXhpaNL4LvA","537"
"202",10383,"A6nY4SCrMuLPtlbq-EKnfA","275"
"203",10433,"xk-fOf_M39kDTgzfVgu0Tw","242"
"204",10450,"JOoblYsQjFT-47tkt6om0A","275"
"205",10513,"y9ukbhhyYC2qrPSS9eWh5Q","318"
"206",10514,"HnbkGxUs7oWKYDeB-Pk82Q","333"
"207",10516,"ZCQa7CJxZ-53Zxd_pobWug","439"
"208",10558,"RYBGhnFtyZGjlREEfcRFrg","244"
"209",10575,"lKOvx_aAXiXQGooZ-4bq9Q","366"
"210",10736,"Jd2NUZeVeyWi1tTNKXMt1Q","314"
"211",10823,"IdCOpMsZ67g-oQZLgAsnOA","642"
"212",10837,"v4qyBRpTBvOO55M4IAqNNg","293"
"213",10848,"80H8EnyShhq6_ZENH7aV3A","373"
"214",10875,"JQLi-Ow9pg391iMzw5LSwg","272"
"215",10920,"gVgSl9anfzYn8dMdmmFNsg","385"
"216",10973,"jIzygnVmajEXYmfsBNY_Gw","575"
"217",11002,"hDD6-yk1yuuRIvfdtHsISg","246"
"218",11023,"eBxQzBFLEPwRCxuiL50SQA","273"
"219",11050,"UV2Jt8slktGu14gLZeNCjA","815"
"220",11067,"6kq9oLduJAYkb2WjAb36KA","268"
"221",11157,"QSepZEqX_zFjkHxo2b4KBA","229"
"222",11212,"K-uQkfSUTwu5LIwPB4b_vg","1402"
"223",11345,"i1Xkm22_96GNVVOXSUoL0A","233"
"224",11365,"BncSpY3IPix5s-4SOHCtLQ","236"
"225",11369,"SEMvJDVnDB4NoPW6tXXO_Q","300"
"226",11534,"sNVGdeOPeitJ3OWUQBINzQ","1002"
"227",11582,"Uq-GOs9_IqweUsB5MdII9w","247"
"228",11594,"Ccjo5j4A5-gVaBbuHAqzVA","283"
"229",11609,"M10n-ivjDkkdLaxIYNafFQ","271"
"230",11623,"PlTdQdCWu2_hjbSuenB3pg","333"
"231",11725,"WETHRoXB2IbixndSlOktJA","370"
"232",11901,"CElwRv4CtK56NljAuCwepw","232"
"233",11912,"1jpYP-JNOEYCMIzP4OlGuQ","566"
"234",11954,"hjgr1NJPgPjEUiUn7Ejn2A","355"
"235",11970,"tIrzcjC5_oBpY6R0G64z5g","235"
"236",11980,"fyJAqmweGm8VXnpU4CWGNw","217"
"237",12101,"Xg5qEQiB-7L6kGJ5F4K3bQ","1083"
